noise,sentence,file
1,0,1945_65_8_djvu.txt
1,0,3976807_djvu.txt
1,0,101520010_djvu.txt
1,0,1945_65_12_djvu.txt
1,1,3_manuscript_13th001_djvu.txt
1,1,43. LIBER XLI - VETUS TESTAMENTUM-PROPHETIA MICHÆÆ_djvu.txt
1,1,1933_36_1_djvu.txt
1,1,71. LIBER LXIX - NOVUM TESTAMENTUM-EPISTULA BEATI APOSTOLI AD LAODICIANOS_djvu.txt
1,1,76. LIBER LXXIV - NOVUM TESTAMENTUM-EPISTULA BEATI IOANNIS APOSTOLI 2_djvu.txt
1,1,68. LIBER LXVI - NOVUM TESTAMENTUM-EPISTULA BEATI PAULI APOSTOLI AD TITUM_djvu.txt
1,2,49. LIBER XLVII - VETUS TESTAMENTUM-PROPHETIA MALACHIÆ_djvu.txt
1,2,49. LIBER XLVII - VETUS TESTAMENTUM-PROPHETIA MALACHIÆ_djvu.txt
1,2,65. LIBER LXIII - NOVUM TESTAMENTUM-EPISTULA BEATI PAULI APOSTOLI AD THESSALONICENSES 2_djvu.txt
1,2,17. LIBER XV - VETUS TESTAMENTUM-ORATIO MANASSÆ REGIS IUDA_djvu.txt
1,2,2. ARCANUM - MENSAM DE CONTENTIS IN EODEM_djvu.txt
1,2,66. LIBER LXIV - NOVUM TESTAMENTUM-EPISTULA BEATI PAULI APOSTOLI AD TIMOTHEUM 1_djvu.txt
1,2,23. LIBER XXI - VETUS TESTAMENTUM-LIBER IUDITH_djvu.txt
1,3,21. LIBER XIX - VETUS TESTAMENTUM-LIBER 4 ESDRÆ_djvu.txt
1,3,1-Jus-ecclesiasticum-publicum-PHAIDRA_o_241239_djvu.txt
1,3,101520010_djvu.txt
1,3,77. LIBER LXXV - NOVUM TESTAMENTUM-EPISTULA BEATI IOANNIS APOSTOLI 3_djvu.txt
1,3,78. LIBER LXXVI - NOVUM TESTAMENTUM-EPISTULA CATHOLICA BEATI IUDÆ APOSTOLI_djvu.txt
1,4,64. LIBER LXII - NOVUM TESTAMENTUM-EPISTULA BEATI PAULI APOSTOLI AD THESSALONICENSES 1_djvu.txt
1,4,1964 Good Friday Solemn Intercessions_djvu.txt
1,4,Libretto_djvu.txt
1,4,35_Latin Hymns for Good Friday_Strutt_djvu.txt
1,4,76. LIBER LXXIV - NOVUM TESTAMENTUM-EPISTULA BEATI IOANNIS APOSTOLI 2_djvu.txt
